ID,Category,hiragana,katakana,kanji,count
30000,SEXUAL_WORD,まんこ,マンコ,,30
30001,SEXUAL_WORD,おまんこ,オマンコ,,29
30002,SEXUAL_WORD,おなにー,オナニー,,1
30003,SEXUAL_WORD,ちくび,チクビ,乳首,15
30004,SEXUAL_WORD,じい,ジイ,自慰,2
30005,SEXUAL_WORD,しょじょまく,ショジョマク,処女膜,0
30006,SEXUAL_WORD,おっぱい,オッパイ,,2
30007,SEXUAL_WORD,むね,ムネ,胸,4
30008,SEXUAL_WORD,おむね,オムネ,お胸,0
30009,SEXUAL_WORD,ぱいずり,パイズリ,,0
30010,SEXUAL_WORD,にゅうりん,ニュウリン,乳輪,6
30011,SEXUAL_WORD,りんかん,リンカン,輪姦,0
30012,SEXUAL_WORD,きす,キス,,0
30013,SEXUAL_WORD,せっくす,セックス,,0
30014,SEXUAL_WORD,せいこう,セイコウ,性交,0
30015,SEXUAL_WORD,せいこうしょう,セイコウショウ,性交渉,0
30016,SEXUAL_WORD,えっち,エッチ,,34
30017,SEXUAL_WORD,くり,クリ,,21
30018,SEXUAL_WORD,くりとりす,クリトリス,,13
30019,SEXUAL_WORD,いんかく,インカク,陰核,0
30020,SEXUAL_WORD,せいえき,セイエキ,精液,0
30021,SEXUAL_WORD,せいそう,セイソウ,精巣,0
30022,SEXUAL_WORD,ちんぽ,チンポ,,0
30023,SEXUAL_WORD,おちんぽ,オチンポ,,0
30024,SEXUAL_WORD,こうもん,コウモン,肛門,0
30025,SEXUAL_WORD,あなる,アナル,,2
30026,SEXUAL_WORD,しり,シリ,尻,0
30027,SEXUAL_WORD,おしり,オシリ,お尻,0
30028,SEXUAL_WORD,あいえき,アイエキ,愛液,0
30029,SEXUAL_WORD,あいぶ,アイブ,愛撫,0
30030,SEXUAL_WORD,さおしまい,サオシマイ,竿姉妹,0
30031,SEXUAL_WORD,あなきょうだい,アナキョウダイ,穴兄弟,0
30032,SEXUAL_WORD,えーえふ,エーエフ,,0
30033,SEXUAL_WORD,あなるふぁっく,アナルファック,,0
30034,SEXUAL_WORD,あへがお,アヘガオ,アへ顔,0
30035,SEXUAL_WORD,あくめ,アクメ,,0
30036,SEXUAL_WORD,いんらん,インラン,淫乱,0
30037,SEXUAL_WORD,おーらるせっくす,オーラルセックス,,0
30038,SEXUAL_WORD,おもらしぷれい,オモラシプレイ,,0
30039,SEXUAL_WORD,おうごん,オウゴン,黄金,0
30040,SEXUAL_WORD,おしっこ,オシッコ,,5
30041,SEXUAL_WORD,おもらし,オモラシ,お漏らし,0
30042,SEXUAL_WORD,えすえむ,エスエム,,0
30043,SEXUAL_WORD,おーがずむ,オーガズム,,0
30044,SEXUAL_WORD,おほごえ,オホゴエ,オホ声,0
30045,SEXUAL_WORD,あえぎごえ,アエギゴエ,喘ぎ声,1
30046,SEXUAL_WORD,あえぐ,アエグ,喘ぐ,0
30047,SEXUAL_WORD,せいすい,セイスイ,聖水,0
30048,SEXUAL_WORD,おなさぽ,オナサポ,,0
30049,SEXUAL_WORD,おなにーさぽーと,オナニーサポート,,0
30050,SEXUAL_WORD,ちくにー,チクニー,,8
30051,SEXUAL_WORD,ちくびおなにー,チクビオナニー,乳首オナニー,0
30052,SEXUAL_WORD,くりしこ,クリシコ,,0
30053,SEXUAL_WORD,くりおな,クリオナ,,1
30054,SEXUAL_WORD,くりとりすおなにー,クリトリスオナニー,,0
30055,SEXUAL_WORD,くんに,クンニ,,0
