ID,Category,hiragana,katakana,Notation fluctuation,Notation fluctuation,Notation fluctuation,Notation fluctuation,Notation fluctuation,Notation fluctuation,,,,,,count,Embedding,<UnBasic>
30000,SEXUAL_WORD,はーと,ハート,♡,♥,💕,💛,❤,,,,,,,944,<HEART>,記号
30001,SEXUAL_WORD,あな,アナ,穴,,,,,,,,,,,170,,名詞
30002,SEXUAL_WORD,きもちいい,キモチイイ,気持ちいい,,,,,,,,,,,158,,形容詞
30003,SEXUAL_WORD,とろとろ,トロトロ,,,,,,,,,,,,158,,副詞
30004,SEXUAL_WORD,した,シタ,舌,,,,,,,,,,,80,,名詞
30005,SEXUAL_WORD,えっち,エッチ,,,,,,,,,,,,68,,<UnBasic>
30006,SEXUAL_WORD,ごしゅじんさま,ゴシュジンサマ,ご主人様,,,,,,,,,,,64,,<UnBasic>
30007,SEXUAL_WORD,まんこ,マンコ,,,,,,,,,,,,60,,<UnBasic>
30008,SEXUAL_WORD,わたし,ワタシ,私,,,,,,,,,,,60,,名詞
30009,SEXUAL_WORD,おまんこ,オマンコ,,,,,,,,,,,,58,,<UnBasic>
30010,SEXUAL_WORD,からだ,カラダ,身体,体,,,,,,,,,,54,,名詞
30011,SEXUAL_WORD,かりかり,カリカリ,,,,,,,,,,,,52,,名詞
30012,SEXUAL_WORD,てく,テク,,,,,,,,,,,,52,,動詞
30013,SEXUAL_WORD,かわ,カワ,皮,,,,,,,,,,,46,,名詞
30014,SEXUAL_WORD,おとこ,オトコ,男,,,,,,,,,,,44,,名詞
30015,SEXUAL_WORD,こえ,コエ,声,,,,,,,,,,,44,,名詞
30016,SEXUAL_WORD,くり,クリ,,,,,,,,,,,,42,,名詞
30017,SEXUAL_WORD,へんたい,ヘンタイ,変態,,,,,,,,,,,36,,名詞
30018,SEXUAL_WORD,ください,クダサイ,下さい,,,,,,,,,,,36,,動詞
30019,SEXUAL_WORD,ぼく,ボク,僕,,,,,,,,,,,34,,名詞
30020,SEXUAL_WORD,くび,クビ,首,,,,,,,,,,,32,,名詞
30021,SEXUAL_WORD,ちくび,チクビ,乳首,,,,,,,,,,,30,,名詞
30022,SEXUAL_WORD,かわいい,カワイイ,可愛い,,,,,,,,,,,28,,形容詞
30023,SEXUAL_WORD,くりとりす,クリトリス,,,,,,,,,,,,26,,<UnBasic>
30024,SEXUAL_WORD,ばい,バイ,,,,,,,,,,,,26,,名詞
30025,SEXUAL_WORD,といれ,トイレ,,,,,,,,,,,,26,,<UnBasic>
30026,SEXUAL_WORD,また,マタ,,,,,,,,,,,,24,,接続詞
30027,SEXUAL_WORD,うえ,ウエ,上,,,,,,,,,,,24,,名詞
30028,SEXUAL_WORD,くち,クチ,口,,,,,,,,,,,22,,名詞
30029,SEXUAL_WORD,うで,ウデ,腕,,,,,,,,,,,22,,名詞
30030,SEXUAL_WORD,はいしん,ハイシン,配信,,,,,,,,,,,20,,名詞
30031,SEXUAL_WORD,みるく,ミルク,,,,,,,,,,,,20,,名詞
30032,SEXUAL_WORD,くるくる,クルクル,,,,,,,,,,,,20,,副詞
30033,SEXUAL_WORD,めす,メス,雌,♀,,,,,,,,,,18,,名詞
30034,SEXUAL_WORD,うし,ウシ,牛,,,,,,,,,,,18,,名詞
30035,SEXUAL_WORD,ちくにー,チクニー,,,,,,,,,,,,16,,<UnBasic>
30036,SEXUAL_WORD,そろ,ソロ,,,,,,,,,,,,16,,動詞
30037,SEXUAL_WORD,こりこり,コリコリ,,,,,,,,,,,,16,,副詞
30038,SEXUAL_WORD,でんわ,デンワ,電話,,,,,,,,,,,16,,名詞
30039,SEXUAL_WORD,ぱんつ,パンツ,,,,,,,,,,,,14,,名詞
30040,SEXUAL_WORD,めいれい,メイレイ,命令,めいれー,メイレー,,,,,,,,,14,,名詞
30041,SEXUAL_WORD,さんぽ,サンポ,散歩,,,,,,,,,,,14,,名詞
30042,SEXUAL_WORD,すき,スキ,好き,,,,,,,,,,,14,,名詞
30043,SEXUAL_WORD,にゅうりん,ニュウリン,乳輪,,,,,,,,,,,12,,<UnBasic>
30044,SEXUAL_WORD,しきゅう,シキュウ,子宮,,,,,,,,,,,12,,名詞
30045,SEXUAL_WORD,ぶら,ブラ,,,,,,,,,,,,12,,動詞
30046,SEXUAL_WORD,もうそう,モウソウ,妄想,,,,,,,,,,,12,,名詞
30047,SEXUAL_WORD,はだか,ハダカ,裸,,,,,,,,,,,12,,名詞
30048,SEXUAL_WORD,おさんぽ,オサンポ,お散歩,,,,,,,,,,,12,,<UnBasic>
30049,SEXUAL_WORD,ぬいで,ヌイデ,脱いで,,,,,,,,,,,12,,<UnBasic>
30050,SEXUAL_WORD,まま,ママ,,,,,,,,,,,,12,,名詞
30051,SEXUAL_WORD,おしっこ,オシッコ,,,,,,,,,,,,10,,名詞
